Name;Country;1. shooting;2. shooting;3. shooting;4. shooting
TSVETKOV Maxim;RUSSIA;ooooo;ooooo;ooooo;ooooo
GARANICHEV Evgeniy;RUSSIA;ooooo;ooooo;ooooo;ooooo
MALYSHKO Dmitry;RUSSIA;ooooo;oxooo;ooooo;oxooo
LOGINOV Alexander;RUSSIA;ooooo;xooxo;ooooo;xoxoo
GUIGONNAT Antonin;FRANCE;ooooo;oooox;ooooo;oooxo
DESTHIEUX Simon;FRANCE;ooooo;ooooo;xoooo;xxxoo
FILLON MAILLET Quentin;FRANCE;ooooo;ooxxx;ooooo;ooooo
FOURCADE Martin;FRANCE;ooooo;ooooo;ooooo;ooooo
EBERHARD Tobias;AUSTRIA;ooooo;ooooo;oooxo;oxxxo
EDER Simon;AUSTRIA;ooooo;ooooo;ooooo;ooooo
LANDERTINGER Dominik;AUSTRIA;ooooo;ooooo;ooooo;oooxo
EBERHARD Julian;AUSTRIA;ooooo;ooxoo;ooooo;xoxoo
MORAVEC Ondrej;CZECH REPUBLIC;ooooo;ooooo;ooooo;oooox
KRCMAR Michal;CZECH REPUBLIC;ooooo;ooxoo;oxooo;xxoxo
STVRTECKY Jakub;CZECH REPUBLIC;ooooo;oooxo;ooooo;oxoox
KRUPCIK Tomas;CZECH REPUBLIC;ooooo;xoooo;ooooo;xoooo
FEMLING Peppe;SWEDEN;ooooo;xoooo;xoooo;xoxox
NELIN Jesper;SWEDEN;ooooo;xoooo;ooooo;ooooo
STENERSEN Torstein;SWEDEN;ooooo;ooooo;ooooo;oooxo
SAMUELSSON Sebastian;SWEDEN;ooooo;ooooo;ooooo;oooxo
BORMOLINI Thomas;ITALY;ooooo;ooooo;ooooo;xxoxo
HOFER Lukas;ITALY;ooooo;ooxoo;ooooo;xxoox
MONTELLO Giuseppe;ITALY;ooooo;ooxoo;ooooo;xooox
WINDISCH Dominik;ITALY;ooooo;xoooo;ooooo;xxoox
CHRISTIANSEN Vetle Sjaastad;NORWAY;ooooo;ooooo;ooooo;xxooo
BIRKELAND Lars Helge;NORWAY;ooooo;ooxoo;ooooo;xooxo
BJOENTEGAARD Erlend;NORWAY;ooooo;xooox;oxooo;oxoxx
L'ABEE-LUND Henrik;NORWAY;ooooo;xxoox;oxooo;xxoxo
LESSER Erik;GERMANY;ooooo;ooooo;ooooo;xoooo
SCHEMPP Simon;GERMANY;oooxo;oxxox;ooooo;oxxxo
PEIFFER Arnd;GERMANY;ooooo;xxoxo;ooxoo;ooxxx
DOLL Benedikt;GERMANY;ooooo;xoooo;ooooo;ooxxx
DOVZAN Miha;SLOVENIA;ooooo;oxooo;ooooo;xxooo
FAK Jakov;SLOVENIA;ooooo;ooooo;oxoxo;oxxxo
BAUER Klemen;SLOVENIA;ooooo;oooxo;ooooo;ooooo
DRINOVEC Mitja;SLOVENIA;ooooo;oooxo;ooooo;oooxo
WIESTNER Serafin;SWITZERLAND;ooooo;ooxoo;ooooo;ooooo
WEGER Benjamin;SWITZERLAND;ooooo;oxooo;ooooo;oooxo
DOLDER Mario;SWITZERLAND;ooooo;ooooo;ooooo;oooxo
FINELLO Jeremy;SWITZERLAND;ooooo;ooxxx;ooxoo;xoxox
SIMA Michal;SLOVAKIA;ooooo;ooooo;oooxo;xxxoo
KAZAR Matej;SLOVAKIA;ooooo;ooooo;oooxo;xoxox
HASILLA Tomas;SLOVAKIA;ooooo;ooxox;ooooo;oooxx
OTCENAS Martin;SLOVAKIA;ooooo;ooooo;ooooo;xxoox
SZCZUREK Lukasz;POLAND;ooooo;oxooo;ooooo;oxoox
GUZIK Grzegorz;POLAND;ooooo;ooooo;ooooo;xoooo
NEDZA-KUBINIEC Andrzej;POLAND;ooooo;oxooo;ooooo;ooxoo
JANIK Mateusz;POLAND;oxooo;xooxx;ooooo;xxooo
SMOLSKI Anton;BELARUS;ooooo;oooxo;ooooo;ooooo
CHEPELIN Vladimir;BELARUS;ooooo;oooxo;oooox;oxxox
YALIOTNAU Raman;BELARUS;ooooo;ooooo;oooxo;xooxx
BOCHARNIKOV Sergey;BELARUS;ooooo;ooooo;ooooo;xxxoo
ZAHKNA Rene;ESTONIA;ooooo;oxooo;ooooo;xxoox
ERMITS Kalev;ESTONIA;ooooo;xooxo;ooooo;oxooo
KOIV Kauri;ESTONIA;ooooo;xoxoo;ooooo;xxoxo
LESSING Roland;ESTONIA;oooox;xoxox;ooooo;oxoox
TACHIZAKI Mikito;JAPAN;ooooo;oooox;ooxoo;xoxox
KOBONOKI Tsukasa;JAPAN;ooooo;ooooo;ooooo;oxxoo
INOMATA Kazuya;JAPAN;oxooo;xoxox;ooooo;ooxoo
OZAKI Kosuke;JAPAN;ooooo;ooooo;ooooo;xooox
GRONMAN Tuomas;FINLAND;ooooo;xoooo;ooooo;oooox
SEPPALA Tero;FINLAND;ooooo;oooox;ooooo;xooxx
HIIDENSALO Olli;FINLAND;ooooo;oxooo;ooooo;xxoox
INVENIUS Tuukka;FINLAND;oxooo;xxxoo;oooxo;xxoox
