Tekmovalec;1. strel;2. strel;3. strel;4. strel
Boe J. T.;ooooo;ooooo;oooox;ooooo
Jacquelin E.;ooooo;ooooo;ooooo;ooooo
Boe T.;ooooo;ooooo;xooo;oxooo
Fillon Maillet Q.;ooooo;ooxoo;ooooo;ooooo
Fourcade M.;xooo;ooooo;ooooo;oooxo
Dale J.;ooooo;oooox;ooooo;xooo
Peiffer A.;ooxoo;ooxoo;ooooo;oooox
Eder S.;oooxo;ooooo;ooooo;ooooo
Bjoentegaard E.;ooooo;ooooo;ooooo;ooooo
Desthieux S.;oooxo;ooooo;oooxo;xooo
Loginov A.;ooooo;ooooo;oooxo;oxooo
Leitner F.;ooooo;xoooo;oooox;ooooo
Fak J.;xooo;ooooo;xoooo;oooxo
Kuehn J.;ooooo;ooooo;ooooo;oooox
Christiansen V. S.;ooooo;ooxoo;ooxox;ooooo
Doll B.;ooxoo;ooooo;ooooo;ooxoo
Windisch D.;oooox;ooooo;xoooo;xxoo
Porshnev N.;ooooo;ooxoo;oooxo;ooooo
Claude F.;ooooo;xooo;xooo;xxoo
Iliev V.;ooxxo;oooox;ooooo;xoox
Hofer L.;xooo;oooox;ooxoo;ooooo
Eberhard J.;ooooo;ooxoo;xooo;oooox
Pidručnji D.;ooxoo;ooooo;xoooo;oooxo
Schempp S.;oooxo;ooxxo;oooxo;ooooo
Krčmar M.;ooxxo;xooo;ooxxo;ooooo
Claude F.;ooxoo;ooooo;ooxxo;oooox
Ponsiluoma M.;xxxo;oooox;ooooo;ooooo
Horn P.;ooooo;oooox;ooxoo;xooo
Eliseev M.;ooooo;ooooo;ooooo;ooooo
Lapšhin T.;xoxx;oooxo;ooxox;ooooo
